Tabell P1M b.  Anmälda brott, efter brottstyp, ackumulerat under innevarande år, jämförelse med motsvarande period föregående år samt antal brott per 100 000 invånare, preliminär statistik, i hela landet, 2024.;;;;;
Lagrum;Brottstyp;Antal brott totalt, ackumulerat under jan-dec 2024;Förändring jämfört med motsvarande period 2023, i antal;Förändring jämfört med motsvarande period 2023, i procent;Antal brott per 100 000 invånare, ackumulerat under 2024
4 kap. 5 § BrB Olaga hot;Mot kvinna 18 år eller äldre, annan sorts relation eller bekantskap;5 153 ; 99 ; 2 ; 49 
4 kap. 5 § BrB Olaga hot;Mot kvinna 18 år eller äldre, annan sorts relation eller bekantskap, internetrelaterat;1 124 ; 111 ; 11 ; 11 
4 kap. 5 § BrB Olaga hot;Mot kvinna 18 år eller äldre, annan sorts relation eller bekantskap, ej internetrelaterat;4 029 ;- 12 ;- 0 ; 38 
4 kap. 5 § BrB Olaga hot;Mot kvinna 18 år eller äldre, obekanta;5 239 ; 136 ; 3 ; 50 
4 kap. 5 § BrB Olaga hot;Mot kvinna 18 år eller äldre, obekanta, internetrelaterat;1 252 ; 182 ; 17 ; 12 
4 kap. 5 § BrB Olaga hot;Mot kvinna 18 år eller äldre, obekanta, ej internetrelaterat;3 987 ;- 46 ;- 1 ; 38 
4 kap. 5 § BrB Olaga hot;Mot man 18 år eller äldre;19 389 ;- 342 ;- 2 ; 184 
4 kap. 5 § BrB Olaga hot;Mot man 18 år eller äldre, närstående genom parrelation;1 180 ; 106 ; 10 ; 11 
4 kap. 5 § BrB Olaga hot;Mot man 18 år eller äldre, närstående genom parrelation, internetrelaterat; 182 ; 20 ; 12 ; 2 
4 kap. 5 § BrB Olaga hot;Mot man 18 år eller äldre, närstående genom parrelation, ej internetrelaterat; 998 ; 86 ; 9 ; 9 
4 kap. 5 § BrB Olaga hot;Mot man 18 år eller äldre, närstående genom släktskap/familj;1 580 ; 56 ; 4 ; 15 
4 kap. 5 § BrB Olaga hot;Mot man 18 år eller äldre, närstående genom släktskap/familj, internetrelaterat; 217 ; 7 ; 3 ; 2 
4 kap. 5 § BrB Olaga hot;Mot man 18 år eller äldre, närstående genom släktskap/familj, ej internetrelaterat;1 363 ; 49 ; 4 ; 13 
4 kap. 5 § BrB Olaga hot;Mot man 18 år eller äldre, annan sorts relation eller bekantskap;6 841 ;- 105 ;- 2 ; 65 
4 kap. 5 § BrB Olaga hot;Mot man 18 år eller äldre, annan sorts relation eller bekantskap, internetrelaterat;1 045 ; 134 ; 15 ; 10 
4 kap. 5 § BrB Olaga hot;Mot man 18 år eller äldre, annan sorts relation eller bekantskap, ej internetrelaterat;5 796 ;- 239 ;- 4 ; 55 
4 kap. 5 § BrB Olaga hot;Mot man 18 år eller äldre, obekanta;9 788 ;- 399 ;- 4 ; 93 
4 kap. 5 § BrB Olaga hot;Mot man 18 år eller äldre, obekanta, internetrelaterat;1 466 ;- 35 ;- 2 ; 14 
4 kap. 5 § BrB Olaga hot;Mot man 18 år eller äldre, obekanta, ej internetrelaterat;8 322 ;- 364 ;- 4 ; 79 
4 kap. 5 § BrB Olaga hot;Mot grupp;2 757 ;- 234 ;- 8 ; 26 
4 kap. 5 § BrB Olaga hot;Mot grupp, internetrelaterat; 721 ; 114 ; 19 ; 7 
4 kap. 5 § BrB Olaga hot;Mot grupp, ej internetrelaterat;2 036 ;- 348 ;- 15 ; 19 
4 kap. 6 § BrB Hemfridsbrott, olaga intrång ;Hemfridsbrott, olaga intrång , totalt;11 711 ; 755 ; 7 ; 111 
4 kap. 6 a § BrB Kränkande fotografering;Kränkande fotografering, totalt;1 339 ; 280 ; 26 ; 13 
4 kap. 6 b § BrB Olovlig identitetsanvändning;Olovlig identitetsanvändning, totalt;17 729 ; 911 ; 5 ; 168 
4 kap. 6 b § BrB Olovlig identitetsanvändning;Mot barn under 18 år; 403 ; 33 ; 9 ; 4 
4 kap. 6 b § BrB Olovlig identitetsanvändning;Mot flicka under 18 år; 248 ; 23 ; 10 ; 2 
4 kap. 6 b § BrB Olovlig identitetsanvändning;Mot pojke under 18 år; 155 ; 10 ; 7 ; 1 
4 kap. 6 b § BrB Olovlig identitetsanvändning;Mot kvinna 18 år eller äldre;7 879 ; 242 ; 3 ; 75 
4 kap. 6 b § BrB Olovlig identitetsanvändning;Mot man 18 år eller äldre;9 447 ; 636 ; 7 ; 90 
4 kap. 6 c-d § BrB Olaga integritetsintrång ;Olaga integritetsintrång, totalt;2 424 ; 291 ; 14 ; 23 
4 kap. 6 c-d § BrB Olaga integritetsintrång ;Mot barn under 18 år;1 198 ; 186 ; 18 ; 11 
4 kap. 6 c-d § BrB Olaga integritetsintrång ;Mot flicka under 18 år; 795 ; 134 ; 20 ; 8 
4 kap. 6 c-d § BrB Olaga integritetsintrång ;Mot pojke under 18 år; 403 ; 52 ; 15 ; 4 
4 kap. 6 c-d § BrB Olaga integritetsintrång ;Mot kvinna 18 år eller äldre; 777 ; 101 ; 15 ; 7 
4 kap. 6 c-d § BrB Olaga integritetsintrång ;Mot kvinna 18 år eller äldre, närstående genom parrelation; 313 ; 53 ; 20 ; 3 
4 kap. 6 c-d § BrB Olaga integritetsintrång ;Mot kvinna 18 år eller äldre, närstående genom släktskap/familj; 19 ; 1 ; 6 ; 0 
4 kap. 6 c-d § BrB Olaga integritetsintrång ;Mot kvinna 18 år eller äldre, annan sorts relation eller bekantskap; 216 ; 18 ; 9 ; 2 
4 kap. 6 c-d § BrB Olaga integritetsintrång ;Mot kvinna 18 år eller äldre, obekanta; 229 ; 29 ; 15 ; 2 
4 kap. 6 c-d § BrB Olaga integritetsintrång ;Mot man 18 år eller äldre; 449 ; 4 ; 1 ; 4 
4 kap. 6 c-d § BrB Olaga integritetsintrång ;Mot man 18 år eller äldre, närstående genom parrelation; 41 ; 6 ; 17 ; 0 
4 kap. 6 c-d § BrB Olaga integritetsintrång ;Mot man 18 år eller äldre, närstående genom släktskap/familj; 9 ; 4 ; 80 ; 0 
4 kap. 6 c-d § BrB Olaga integritetsintrång ;Mot man 18 år eller äldre, annan sorts relation eller bekantskap; 68 ; 11 ; 19 ; 1 
4 kap. 6 c-d § BrB Olaga integritetsintrång ;Mot man 18 år eller äldre, obekanta; 331 ;- 17 ;- 5 ; 3 
4 kap. 7 § BrB Ofredande ;Ofredande, totalt;62 238 ;7 671 ; 14 ; 590 
4 kap. 7 § BrB Ofredande ;Mot barn under 18 år;6 827 ; 641 ; 10 ; 65 
4 kap. 7 § BrB Ofredande ;Mot flicka under 18 år;3 766 ; 380 ; 11 ; 36 
4 kap. 7 § BrB Ofredande ;Mot pojke under 18 år;3 061 ; 261 ; 9 ; 29 
4 kap. 7 § BrB Ofredande ;Mot kvinna 18 år eller äldre;33 175 ;4 111 ; 14 ; 314 
4 kap. 7 § BrB Ofredande ;Mot kvinna 18 år eller äldre, närstående genom parrelation;7 693 ;1 063 ; 16 ; 73 
4 kap. 7 § BrB Ofredande ;Mot kvinna 18 år eller äldre, närstående genom släktskap/familj;1 764 ; 188 ; 12 ; 17 
4 kap. 7 § BrB Ofredande ;Mot kvinna 18 år eller äldre, annan sorts relation eller bekantskap;8 520 ;1 061 ; 14 ; 81 
4 kap. 7 § BrB Ofredande ;Mot kvinna 18 år eller äldre, obekanta;15 198 ;1 799 ; 13 ; 144 
4 kap. 7 § BrB Ofredande ;Mot man 18 år eller äldre;19 478 ;2 832 ; 17 ; 185 
4 kap. 7 § BrB Ofredande ;Mot man 18 år eller äldre, närstående genom parrelation;1 655 ; 318 ; 24 ; 16 
4 kap. 7 § BrB Ofredande ;Mot man 18 år eller äldre, närstående genom släktskap/familj; 895 ; 127 ; 17 ; 8 
4 kap. 7 § BrB Ofredande ;Mot man 18 år eller äldre, annan sorts relation eller bekantskap;4 907 ; 703 ; 17 ; 47 
4 kap. 7 § BrB Ofredande ;Mot man 18 år eller äldre, obekanta;12 021 ;1 684 ; 16 ; 114 
4 kap. 7 § BrB Ofredande ;Mot grupp;2 758 ; 87 ; 3 ; 26 
4 kap. 7 a § 1 st. BrB Uppmaning till självmord;Uppmaning till självmord; 274 ; 82 ; 43 ; 3 
4 kap. 7 a § 1 st. BrB Uppmaning till självmord;Mot barn under 18 år; 109 ; 27 ; 33 ; 1 
4 kap. 7 a § 1 st. BrB Uppmaning till självmord;Mot flicka under 18 år; 89 ; 30 ; 51 ; 1 
4 kap. 7 a § 1 st. BrB Uppmaning till självmord;Mot pojke under 18 år; 20 ;- 3 ;- 13 ; 0 
4 kap. 7 a § 1 st. BrB Uppmaning till självmord;Mot kvinna 18 år eller äldre; 113 ; 37 ; 49 ; 1 
4 kap. 7 a § 1 st. BrB Uppmaning till självmord;Mot man 18 år eller äldre; 52 ; 18 ; 53 ; 0 
4 kap. 7 a § 2 st. BrB Oaktsam uppmaning till självmord;Oaktsam uppmaning till självmord ; 26 ;- 11 ;- 30 ; 0 
4 kap. 7 a § 2 st. BrB Oaktsam uppmaning till självmord;Mot barn under 18 år; 13 ;- 6 ;- 32 ; 0 
4 kap. 7 a § 2 st. BrB Oaktsam uppmaning till självmord;Mot flicka under 18 år; 12 ;- 2 ;- 14 ; 0 
4 kap. 7 a § 2 st. BrB Oaktsam uppmaning till självmord;Mot pojke under 18 år; 1 ;- 4 ;- 80 ; 0 
4 kap. 7 a § 2 st. BrB Oaktsam uppmaning till självmord;Mot kvinna 18 år eller äldre; 6 ;- 6 ;- 50 ; 0 
4 kap. 7 a § 2 st. BrB Oaktsam uppmaning till självmord;Mot man 18 år eller äldre; 7 ; 1 ; 17 ; 0 
4 kap. 8-9 a § BrB Olovlig avlyssning m.m. ;Olovlig avlyssning m.m. totalt;1 398 ; 64 ; 5 ; 13 
4 kap. 9 c § BrB Dataintrång ;Dataintrång, totalt;9 905 ;-1 242 ;- 11 ; 94 
4 kap. 9 c § BrB Dataintrång ; Genom överbelastningsattack; 109 ;- 157 ;- 59 ; 1 
4 kap. 9 c § BrB Dataintrång ; Med hjälp av skadlig kod i utpressningssyfte; 236 ;- 54 ;- 19 ; 2 
4 kap. 9 c § BrB Dataintrång ; Genom olovlig registerslagning; 999 ;- 392 ;- 28 ; 9 
4 kap. 9 c § BrB Dataintrång ; I sociala medier eller e-tjänster;5 072 ;-1 140 ;- 18 ; 48 
4 kap. 9 c § BrB Dataintrång ;Övrigt dataintrång;3 489 ; 501 ; 17 ; 33 
5 kap. BrB Ärekränkning;Ärekränkning, totalt;11 503 ;1 501 ; 15 ; 109 
5 kap. BrB Ärekränkning;Mot barn under 18 år;1 439 ; 226 ; 19 ; 14 
5 kap. BrB Ärekränkning;Mot flicka under 18 år; 771 ; 105 ; 16 ; 7 
5 kap. BrB Ärekränkning;Mot flicka under 18 år, internetrelaterat; 444 ; 52 ; 13 ; 4 
5 kap. BrB Ärekränkning;Mot flicka under 18 år, ej internetrelaterat; 327 ; 53 ; 19 ; 3 
5 kap. BrB Ärekränkning;Mot pojke under 18 år; 668 ; 121 ; 22 ; 6 
5 kap. BrB Ärekränkning;Mot pojke under 18 år, internetrelaterat; 310 ; 39 ; 14 ; 3 
5 kap. BrB Ärekränkning;Mot pojke under 18 år, ej internetrelaterat; 358 ; 82 ; 30 ; 3 
5 kap. BrB Ärekränkning;Mot kvinna 18 år eller äldre;5 106 ; 918 ; 22 ; 48 
5 kap. BrB Ärekränkning;Mot kvinna 18 år eller äldre, internetrelaterat;2 349 ; 579 ; 33 ; 22 
5 kap. BrB Ärekränkning;Mot kvinna 18 år eller äldre, ej internetrelaterat;2 757 ; 339 ; 14 ; 26 
5 kap. BrB Ärekränkning;Mot man 18 år eller äldre;4 958 ; 357 ; 8 ; 47 
5 kap. BrB Ärekränkning;Mot man 18 år eller äldre, internetrelaterat;2 174 ; 268 ; 14 ; 21 
5 kap. BrB Ärekränkning;Mot man 18 år eller äldre, ej internetrelaterat;2 784 ; 89 ; 3 ; 26 
6 kap. BrB Sexualbrott;Sexualbrott, totalt;25 296 ;1 615 ; 7 ; 240 
6 kap. 1, 1 a, 4 § BrB Våldtäkt inkl. grov, våldtäkt mot barn inkl. grov, oaktsam våldtäkt ;Våldtäkt, våldtäkt mot barn, oaktsam våldtäkt, totalt;9 866 ; 685 ; 7 ; 94 
6 kap. 1, 4 § BrB Våldtäkt inkl. grov, våldtäkt mot barn inkl. grov;Våldtäkt, totalt;9 633 ; 640 ; 7 ; 91 
6 kap. 1, 4 § BrB Våldtäkt inkl. grov, våldtäkt mot barn inkl. grov;Mot barn under 15 år, totalt;2 876 ; 356 ; 14 ; 27 
6 kap. 1, 4 § BrB Våldtäkt inkl. grov, våldtäkt mot barn inkl. grov;Mot flicka under 15 år, totalt;2 496 ; 328 ; 15 ; 24 
6 kap. 1, 4 § BrB Fullbordad våldtäkt inkl. grov, våldtäkt mot barn inkl. grov;Mot flicka under 15 år, totalt;2 352 ; 315 ; 15 ; 22 
6 kap. 1, 4 § BrB Fullbordad våldtäkt inkl. grov, våldtäkt mot barn inkl. grov;Mot flicka under 15 år, utomhus; 232 ; 31 ; 15 ; 2 
6 kap. 1, 4 § BrB Fullbordad våldtäkt inkl. grov, våldtäkt mot barn inkl. grov;Mot flicka under 15 år, inomhus;2 120 ; 284 ; 15 ; 20 
6 kap. 1, 4 § BrB Försök till våldtäkt  inkl. grov, våldtäkt mot barn inkl. grov;Mot flicka under 15 år, totalt; 144 ; 13 ; 10 ; 1 
6 kap. 1, 4 § BrB Försök till våldtäkt  inkl. grov, våldtäkt mot barn inkl. grov;Mot flicka under 15 år, utomhus; 26 ;- 1 ;- 4 ; 0 
6 kap. 1, 4 § BrB Försök till våldtäkt  inkl. grov, våldtäkt mot barn inkl. grov;Mot flicka under 15 år, inomhus; 118 ; 14 ; 13 ; 1 
6 kap. 1, 4 § BrB Våldtäkt inkl. grov, våldtäkt mot barn inkl. grov;Mot pojke under 15 år, totalt; 380 ; 28 ; 8 ; 4 
6 kap. 1, 4 § BrB Fullbordad våldtäkt inkl. grov, våldtäkt mot barn inkl. grov;Mot pojke under 15 år, totalt; 350 ; 14 ; 4 ; 3 
6 kap. 1, 4 § BrB Fullbordad våldtäkt inkl. grov, våldtäkt mot barn inkl. grov;Mot pojke under 15 år, utomhus; 39 ; 14 ; 56 ; 0 
6 kap. 1, 4 § BrB Fullbordad våldtäkt inkl. grov, våldtäkt mot barn inkl. grov;Mot pojke under 15 år, inomhus; 311 ;- ;- ; 3 
6 kap. 1, 4 § BrB Försök till våldtäkt  inkl. grov, våldtäkt mot barn inkl. grov;Mot pojke under 15 år, totalt; 30 ; 14 ; 88 ; 0 
6 kap. 1, 4 § BrB Försök till våldtäkt  inkl. grov, våldtäkt mot barn inkl. grov;Mot pojke under 15 år, utomhus; 7 ; 1 ; 17 ; 0 
6 kap. 1, 4 § BrB Försök till våldtäkt  inkl. grov, våldtäkt mot barn inkl. grov;Mot pojke under 15 år, inomhus; 23 ; 13 ; 130 ; 0 
6 kap. 1, 4 § BrB Våldtäkt inkl. grov, våldtäkt mot barn inkl. grov;Mot barn 15–17 år, totalt;1 270 ; 96 ; 8 ; 12 
6 kap. 1, 4 § BrB Våldtäkt inkl. grov, våldtäkt mot barn inkl. grov;Mot flicka 15–17 år, totalt;1 193 ; 76 ; 7 ; 11 
6 kap. 1, 4 § BrB Fullbordad våldtäkt inkl. grov, våldtäkt mot barn inkl. grov;Mot flicka 15–17 år, totalt;1 146 ; 81 ; 8 ; 11 
6 kap. 1, 4 § BrB Fullbordad våldtäkt inkl. grov, våldtäkt mot barn inkl. grov;Mot flicka 15–17 år, utomhus; 136 ;- 2 ;- 1 ; 1 
6 kap. 1, 4 § BrB Fullbordad våldtäkt inkl. grov, våldtäkt mot barn inkl. grov;Mot flicka 15–17 år, inomhus;1 010 ; 83 ; 9 ; 10 
6 kap. 1, 4 § BrB Försök till våldtäkt inkl. grov, våldtäkt mot barn inkl. grov;Mot flicka 15–17 år, totalt; 47 ;- 5 ;- 10 ; 0 
6 kap. 1, 4 § BrB Försök till våldtäkt inkl. grov, våldtäkt mot barn inkl. grov;Mot flicka 15–17 år, utomhus; 16 ; 4 ; 33 ; 0 
6 kap. 1, 4 § BrB Försök till våldtäkt inkl. grov, våldtäkt mot barn inkl. grov;Mot flicka 15–17 år, inomhus; 31 ;- 9 ;- 23 ; 0 
6 kap. 1, 4 § BrB Våldtäkt inkl. grov, våldtäkt mot barn inkl. grov;Mot pojke 15–17 år, totalt; 77 ; 20 ; 35 ; 1 
6 kap. 1, 4 § BrB Fullbordad våldtäkt inkl. grov, våldtäkt mot barn inkl. grov;Mot pojke 15–17 år, totalt; 71 ; 20 ; 39 ; 1 
6 kap. 1, 4 § BrB Fullbordad våldtäkt inkl. grov, våldtäkt mot barn inkl. grov;Mot pojke 15–17 år, utomhus; 13 ; 2 ; 18 ; 0 
6 kap. 1, 4 § BrB Fullbordad våldtäkt inkl. grov, våldtäkt mot barn inkl. grov;Mot pojke 15–17 år, inomhus; 58 ; 18 ; 45 ; 1 
6 kap. 1, 4 § BrB Försök till våldtäkt inkl. grov, våldtäkt mot barn inkl. grov;Mot pojke 15–17 år, totalt; 6 ;- ;- ; 0 
6 kap. 1, 4 § BrB Försök till våldtäkt inkl. grov, våldtäkt mot barn inkl. grov;Mot pojke 15–17 år, utomhus; 2 ; 2 ;. ; 0 
6 kap. 1, 4 § BrB Försök till våldtäkt inkl. grov, våldtäkt mot barn inkl. grov;Mot pojke 15–17 år, inomhus; 4 ;- 2 ;- 33 ; 0 
6 kap. 1 § BrB Våldtäkt inkl. grov;Mot kvinna 18 år eller äldre, totalt;5 167 ; 148 ; 3 ; 49 
6 kap. 1 § BrB Våldtäkt inkl. grov;Mot kvinna 18 år eller äldre, närstående genom parrelation;1 872 ; 198 ; 12 ; 18 
6 kap. 1 § BrB Fullbordad våldtäkt inkl. grov;Mot kvinna 18 år eller äldre, närstående genom parrelation;1 798 ; 196 ; 12 ; 17 
6 kap. 1 § BrB Försök till våldtäkt inkl. grov;Mot kvinna 18 år eller äldre, närstående genom parrelation; 74 ; 2 ; 3 ; 1 
6 kap. 1 § BrB Våldtäkt inkl. grov;Mot kvinna 18 år eller äldre, närstående genom släktskap/familj; 101 ; 16 ; 19 ; 1 
6 kap. 1 § BrB Fullbordad våldtäkt inkl. grov;Mot kvinna 18 år eller äldre, närstående genom släktskap/familj; 92 ; 13 ; 16 ; 1 
6 kap. 1 § BrB Försök till våldtäkt inkl. grov;Mot kvinna 18 år eller äldre, närstående genom släktskap/familj; 9 ; 3 ; 50 ; 0 
6 kap. 1 § BrB Våldtäkt inkl. grov;Mot kvinna 18 år eller äldre, annan sorts relation eller bekantskap;1 909 ;- 83 ;- 4 ; 18 
6 kap. 1 § BrB Fullbordad våldtäkt inkl. grov;Mot kvinna 18 år eller äldre, annan sorts relation eller bekantskap;1 786 ;- 92 ;- 5 ; 17 
6 kap. 1 § BrB Fullbordad våldtäkt inkl. grov;Mot kvinna 18 år eller äldre, annan sorts relation eller bekantskap, utomhus; 83 ;- 24 ;- 22 ; 1 
6 kap. 1 § BrB Fullbordad våldtäkt inkl. grov;Mot kvinna 18 år eller äldre, annan sorts relation eller bekantskap, inomhus;1 703 ;- 68 ;- 4 ; 16 
6 kap. 1 § BrB Försök till våldtäkt inkl. grov;Mot kvinna 18 år eller äldre, annan sorts relation eller bekantskap; 123 ; 9 ; 8 ; 1 
6 kap. 1 § BrB Försök till våldtäkt inkl. grov;Mot kvinna 18 år eller äldre, annan sorts relation eller bekantskap, utomhus; 12 ;- 2 ;- 14 ; 0 
6 kap. 1 § BrB Försök till våldtäkt inkl. grov;Mot kvinna 18 år eller äldre, annan sorts relation eller bekantskap, inomhus; 111 ; 11 ; 11 ; 1 
6 kap. 1 § BrB Våldtäkt inkl. grov;Mot kvinna 18 år eller äldre, obekanta, totalt;1 285 ; 17 ; 1 ; 12 
6 kap. 1 § BrB Fullbordad våldtäkt inkl. grov;Mot kvinna 18 år eller äldre, obekanta;1 153 ; 29 ; 3 ; 11 
6 kap. 1 § BrB Fullbordad våldtäkt inkl. grov;Mot kvinna 18 år eller äldre, obekanta, utomhus; 247 ; 15 ; 6 ; 2 
6 kap. 1 § BrB Fullbordad våldtäkt inkl. grov;Mot kvinna 18 år eller äldre, obekanta, inomhus; 906 ; 14 ; 2 ; 9 
6 kap. 1 § BrB Försök till våldtäkt inkl. grov;Mot kvinna 18 år eller äldre, obekanta, totalt; 132 ;- 12 ;- 8 ; 1 
6 kap. 1 § BrB Försök till våldtäkt inkl. grov;Mot kvinna 18 år eller äldre, obekanta, utomhus; 64 ;- 3 ;- 4 ; 1 
6 kap. 1 § BrB Försök till våldtäkt inkl. grov;Mot kvinna 18 år eller äldre, obekanta, inomhus; 68 ;- 9 ;- 12 ; 1 
6 kap. 1 § BrB Våldtäkt inkl. grov;Mot man 18 år eller äldre, totalt; 320 ; 40 ; 14 ; 3 
6 kap. 1 § BrB Våldtäkt inkl. grov;Mot man 18 år eller äldre, närstående genom parrelation; 61 ; 23 ; 61 ; 1 
6 kap. 1 § BrB Fullbordad våldtäkt inkl. grov;Mot man 18 år eller äldre, närstående genom parrelation; 56 ; 21 ; 60 ; 1 
6 kap. 1 § BrB Försök till våldtäkt inkl. grov;Mot man 18 år eller äldre, närstående genom parrelation; 5 ; 2 ; 67 ; 0 
6 kap. 1 § BrB Våldtäkt inkl. grov;Mot man 18 år eller äldre, närstående genom släktskap/familj; 14 ; 1 ; 8 ; 0 
6 kap. 1 § BrB Fullbordad våldtäkt inkl. grov;Mot man 18 år eller äldre, närstående genom släktskap/familj; 12 ;- ;- ; 0 
6 kap. 1 § BrB Försök till våldtäkt inkl. grov;Mot man 18 år eller äldre, närstående genom släktskap/familj; 2 ; 1 ; 100 ; 0 
6 kap. 1 § BrB Våldtäkt inkl. grov;Mot man 18 år eller äldre, annan sorts relation eller bekantskap; 129 ; 15 ; 13 ; 1 
6 kap. 1 § BrB Fullbordad våldtäkt inkl. grov;Mot man 18 år eller äldre, annan sorts relation eller bekantskap; 120 ; 14 ; 13 ; 1 
6 kap. 1 § BrB Fullbordad våldtäkt inkl. grov;Mot man 18 år eller äldre, annan sorts relation eller bekantskap, utomhus; 11 ; 9 ; 450 ; 0 
6 kap. 1 § BrB Fullbordad våldtäkt inkl. grov;Mot man 18 år eller äldre, annan sorts relation eller bekantskap, inomhus; 109 ; 5 ; 5 ; 1 
6 kap. 1 § BrB Försök till våldtäkt inkl. grov;Mot man 18 år eller äldre, annan sorts relation eller bekantskap; 9 ; 1 ; 13 ; 0 
6 kap. 1 § BrB Försök till våldtäkt inkl. grov;Mot man 18 år eller äldre, annan sorts relation eller bekantskap, utomhus;- ;- ;. ;- 
6 kap. 1 § BrB Försök till våldtäkt inkl. grov;Mot man 18 år eller äldre, annan sorts relation eller bekantskap, inomhus; 9 ; 1 ; 13 ; 0 
6 kap. 1 § BrB Våldtäkt inkl. grov;Mot man 18 år eller äldre, obekanta, totalt; 116 ; 1 ; 1 ; 1 
6 kap. 1 § BrB Fullbordad våldtäkt inkl. grov;Mot man 18 år eller äldre, obekanta; 104 ;- 2 ;- 2 ; 1 
6 kap. 1 § BrB Fullbordad våldtäkt inkl. grov;Mot man 18 år eller äldre, obekanta, utomhus; 24 ; 3 ; 14 ; 0 
6 kap. 1 § BrB Fullbordad våldtäkt inkl. grov;Mot man 18 år eller äldre, obekanta, inomhus; 80 ;- 5 ;- 6 ; 1 
6 kap. 1 § BrB Försök till våldtäkt inkl. grov;Mot man 18 år eller äldre, obekanta; 12 ; 3 ; 33 ; 0 
6 kap. 1 § BrB Försök till våldtäkt inkl. grov;Mot man 18 år eller äldre, obekanta, utomhus; 2 ;- 2 ;- 50 ; 0 
6 kap. 1 § BrB Försök till våldtäkt inkl. grov;Mot man 18 år eller äldre, obekanta, inomhus; 10 ; 5 ; 100 ; 0 
6 kap. 1 a § BrB Oaktsam våldtäkt ;Oaktsam våldtäkt, totalt; 233 ; 45 ; 24 ; 2 
6 kap. 1 a § BrB Oaktsam våldtäkt ;Mot flicka 15-17 år; 44 ; 5 ; 13 ; 0 
6 kap. 1 a § BrB Oaktsam våldtäkt ;Mot flicka 15-17 år, utomhus; 6 ;- 1 ;- 14 ; 0 
6 kap. 1 a § BrB Oaktsam våldtäkt ;Mot flicka 15-17 år, inomhus; 38 ; 6 ; 19 ; 0 
6 kap. 1 a § BrB Oaktsam våldtäkt ;Mot pojke 15-17 år; 1 ;- 1 ;- 50 ; 0 
6 kap. 1 a § BrB Oaktsam våldtäkt ;Mot pojke 15-17 år, utomhus;- ;- ;. ;- 
6 kap. 1 a § BrB Oaktsam våldtäkt ;Mot pojke 15-17 år, inomhus; 1 ;- 1 ;- 50 ; 0 
6 kap. 1 a § BrB Oaktsam våldtäkt ;Mot kvinna 18 år eller äldre; 178 ; 39 ; 28 ; 2 
6 kap. 1 a § BrB Oaktsam våldtäkt ;Mot kvinna 18 år eller äldre, närstående genom parrelation; 59 ;- 3 ;- 5 ; 1 
6 kap. 1 a § BrB Oaktsam våldtäkt ;Mot kvinna 18 år eller äldre, närstående genom släktskap/familj; 1 ;- ;- ; 0 
6 kap. 1 a § BrB Oaktsam våldtäkt ;Mot kvinna 18 år eller äldre, annan sorts relation eller bekantskap; 65 ; 11 ; 20 ; 1 
6 kap. 1 a § BrB Oaktsam våldtäkt ;Mot kvinna 18 år eller äldre, annan sorts relation eller bekantskap, utomhus; 2 ; 2 ;. ; 0 
6 kap. 1 a § BrB Oaktsam våldtäkt ;Mot kvinna 18 år eller äldre, annan sorts relation eller bekantskap, inomhus; 63 ; 9 ; 17 ; 1 
6 kap. 1 a § BrB Oaktsam våldtäkt ;Mot kvinna 18 år eller äldre, obekanta; 53 ; 31 ; 141 ; 1 
6 kap. 1 a § BrB Oaktsam våldtäkt ;Mot kvinna 18 år eller äldre, obekanta, utomhus;- ;- 1 ;- 100 ;- 
6 kap. 1 a § BrB Oaktsam våldtäkt ;Mot kvinna 18 år eller äldre, obekanta, inomhus; 53 ; 32 ; 152 ; 1 
6 kap. 1 a § BrB Oaktsam våldtäkt ;Mot man 18 år eller äldre; 10 ; 2 ; 25 ; 0 
6 kap. 1 a § BrB Oaktsam våldtäkt ;Mot man 18 år eller äldre, närstående genom parrelation; 3 ;- ;- ; 0 
6 kap. 1 a § BrB Oaktsam våldtäkt ;Mot man 18 år eller äldre ,närstående genom släktskap/familj;- ;- ;. ;- 
6 kap. 1 a § BrB Oaktsam våldtäkt ;Mot man 18 år eller äldre, annan sorts relation eller bekantskap; 6 ; 3 ; 100 ; 0 
6 kap. 1 a § BrB Oaktsam våldtäkt ;Mot man 18 år eller äldre, annan sorts relation eller bekantskap, utomhus;- ;- ;. ;- 
6 kap. 1 a § BrB Oaktsam våldtäkt ;Mot man 18 år eller äldre, annan sorts relation eller bekantskap, inomhus; 6 ; 3 ; 100 ; 0 
6 kap. 1 a § BrB Oaktsam våldtäkt ;Mot man 18 år eller äldre, obekanta; 1 ;- 1 ;- 50 ; 0 
6 kap. 1 a § BrB Oaktsam våldtäkt ;Mot man 18 år eller äldre, obekanta, utomhus;- ;- 1 ;- 100 ;- 
6 kap. 1 a § BrB Oaktsam våldtäkt ;Mot man 18 år eller äldre, obekanta, inomhus; 1 ;- ;- ; 0 
6 kap. 2 § BrB Sexuellt övergrepp inkl. grovt ;Sexuellt övergrepp, totalt; 351 ; 13 ; 4 ; 3 
6 kap. 2 § BrB Sexuellt övergrepp inkl. grovt ;Mot flicka 15-17 år; 77 ;- ;- ; 1 
6 kap. 2 § BrB Sexuellt övergrepp inkl. grovt ;Mot pojke 15-17 år; 10 ; 1 ; 11 ; 0 
6 kap. 2 § BrB Sexuellt övergrepp inkl. grovt ;Mot kvinna 18 år eller äldre; 237 ; 22 ; 10 ; 2 
