Tabell P1M b.  Anmälda brott, efter brottstyp, ackumulerat under innevarande år, jämförelse med motsvarande period föregående år samt antal brott per 100 000 invånare, preliminär statistik, i hela landet, 2024.;;;;;
Lagrum;Brottstyp;Antal brott totalt, ackumulerat under jan-dec 2024;Förändring jämfört med motsvarande period 2023, i antal;Förändring jämfört med motsvarande period 2023, i procent;Antal brott per 100 000 invånare, ackumulerat under 2024
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot flicka 7-14 år, bekant med offret, utomhus;1 074 ; 141 ; 15 ; 10 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot flicka 7-14 år, bekant med offret, inomhus;4 068 ; 212 ; 5 ; 39 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot flicka 7-14 år, obekant med offret; 587 ;- 40 ;- 6 ; 6 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot flicka 7-14 år, obekant med offret, utomhus; 391 ;- 48 ;- 11 ; 4 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot flicka 7-14 år, obekant med offret, inomhus; 196 ; 8 ; 4 ; 2 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot pojke 7-14 år;9 006 ; 281 ; 3 ; 85 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot pojke 7-14 år, bekant med offret;7 489 ; 372 ; 5 ; 71 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot pojke 7-14 år, bekant med offret, utomhus;2 148 ; 147 ; 7 ; 20 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot pojke 7-14 år, bekant med offret, inomhus;5 341 ; 225 ; 4 ; 51 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot pojke 7-14 år, obekant med offret;1 517 ;- 91 ;- 6 ; 14 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot pojke 7-14 år, obekant med offret, utomhus;1 102 ;- 71 ;- 6 ; 10 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot pojke 7-14 år, obekant med offret, inomhus; 415 ;- 20 ;- 5 ; 4 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot barn 15-17 år;7 142 ; 137 ; 2 ; 68 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot flicka 15-17 år;2 861 ; 148 ; 5 ; 27 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot flicka 15-17 år, bekant med offret;2 349 ; 184 ; 8 ; 22 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot flicka 15-17 år, bekant med offret, utomhus; 627 ; 47 ; 8 ; 6 
